GEOID,NAME,WHITE,BLACK OR AFRICAN AMERICAN,AMERICAN INDIAN,ASIAN OR PACIFIC ISLANDER
51001,"Accomack County, Virginia",0.68711635636043,0.29402787669142333,0.010072235222301353,0.008783531725845287
51005,"Alleghany County, Virginia",0.9468092398382343,0.04667900472959079,0.001850709438618137,0.004661045993556789
51007,"Amelia County, Virginia",0.7862368357585015,0.20540236353404615,0.003135300265294638,0.00522550044215773
51011,"Appomattox County, Virginia",0.8034871525957,0.1896958573675931,0.0033429470372312534,0.003474042999475616
51013,"Arlington County, Virginia",0.7438830209351976,0.10687753754153505,0.00801261538934143,0.1412268261339259
51017,"Bath County, Virginia",0.9647147147147147,0.02902902902902903,0.0015015015015015015,0.004754754754754755
51019,"Bedford County, Virginia",0.917968645674759,0.06576663194722646,0.0028176161098202603,0.013447106268194321
51023,"Botetourt County, Virginia",0.96161559190324,0.028764805414551606,0.0021933947483862883,0.007426207933822147
51025,"Brunswick County, Virginia",0.4302127100840336,0.5650603991596639,0.0015099789915966387,0.0032169117647058826
51029,"Buckingham County, Virginia",0.6538653366583541,0.33884039900249374,0.0031795511221945137,0.004114713216957606
51031,"Campbell County, Virginia",0.8336701114254373,0.15072262956334315,0.0036949367819409966,0.011912322229278524
51035,"Carroll County, Virginia",0.988933236574746,0.006132075471698114,0.0019230769230769232,0.003011611030478955
51036,"Charles City County, Virginia",0.4764002517306482,0.4461925739458779,0.07048458149779736,0.006922592825676526
51037,"Charlotte County, Virginia",0.7069439355075119,0.287651154268963,0.002015390252839868,0.003389519970685233
51043,"Clarke County, Virginia",0.9358176501462098,0.04333808202744245,0.003823948414186099,0.017020319412161655
51045,"Craig County, Virginia",0.9931696905016009,0.002774813233724653,0.0010672358591248667,0.0029882604055496264
51049,"Cumberland County, Virginia",0.6785910842047331,0.31161254815630157,0.0047330764997248215,0.005063291139240506
51051,"Dickenson County, Virginia",0.99327110918168,0.003545329570942768,0.0016641342884017075,0.001519426958975472
51057,"Essex County, Virginia",0.6027341772151898,0.3822784810126582,0.00840506329113924,0.006582278481012658
51059,"Fairfax County, Virginia",0.6169332935787277,0.12022768546878812,0.00704740736725124,0.25579161358523295
51063,"Floyd County, Virginia",0.9783266822622816,0.016788220723820007,0.001376083665886886,0.0035090133480115593
51065,"Fluvanna County, Virginia",0.838873149515183,0.1488368381149994,0.003152308367583097,0.009137704002234548
51069,"Frederick County, Virginia",0.9274082670063951,0.04689766520768426,0.003973309451431022,0.02172075833448959
51071,"Giles County, Virginia",0.9783579312910827,0.015130844598784571,0.0021083963785191616,0.004402827731613543
51075,"Goochland County, Virginia",0.8341039713063394,0.14117799576509227,0.0032410008210535415,0.021477032107514803
51077,"Grayson County, Virginia",0.9337465564738292,0.06225895316804408,0.0022038567493112946,0.001790633608815427
51081,"Greensville County, Virginia",0.39372067845543124,0.6005954529050884,0.0027066041140382533,0.0029772645254420786
51083,"Halifax County, Virginia",0.6280757874015748,0.362666092519685,0.0023683562992125986,0.006889763779527559
51087,"Henrico County, Virginia",0.5650564390891601,0.32306535941219905,0.004430360885674835,0.10744784061296593
51089,"Henry County, Virginia",0.7507874268817896,0.2391206530822138,0.0035353859998714407,0.006556534036125217
51093,"Isle of Wight County, Virginia",0.7425800355713651,0.24066251667407737,0.0046131614050689196,0.012144286349488661
51095,"James City County, Virginia",0.8205135496346007,0.14257684761281883,0.00390991554582421,0.032999687206756334
51097,"King and Queen County, Virginia",0.7268900760887163,0.2543305811882791,0.014570179698882952,0.004209163024121742
51099,"King George County, Virginia",0.8059091292253224,0.16787490516732698,0.008008092388097446,0.018207873219253143
51101,"King William County, Virginia",0.8182418241824182,0.15607560756075609,0.01728172817281728,0.0084008400840084
51103,"Lancaster County, Virginia",0.7097908745247148,0.28051330798479085,0.0022813688212927757,0.007414448669201521
